father,startEp,endEp,season,episodeNote
Lee Hyun-woo,1,3,0,
Kim Jung-tae,25,31,1,
Jang Hyun-sung,1,3,0,
Jang Hyun-sung,1,33,1,
Do Kyung-wan,32,39,1,
Tablo,1,58,1,
Uhm Tae-woong,59,103,1,
Song Il-gook,34,116,1,
Song Il-gook,156,156,1,
Choo Sung-hoon,1,3,0,
Choo Sung-hoon,1,122,1,
Choo Sung-hoon,155,160,1,
Choo Sung-hoon,205,206,1,
Yang Dong-geun,127,162,1,
Oh Ji-ho,129,162,1,
Lee Beom-soo,117,182,1,
In Gyo-jin,130,162,1,special appearances
In Gyo-jin,193,193,1,special appearances
Ki Tae-young,114,210,1,
Lee Hwi-jae,1,3,0,
Lee Hwi-jae,1,220,1,
Bong Tae-gyu,221,259,1,
Jang Beom-june,268,278,1,
Ko Ji-yong,163,280,1,
Lee Dong-gook,89,298,1,
