episodeNumber,season,guestStar
1,1,Jung Eunpyo
1,1,Mithra Jin & DJ Tukutz (Epik High)
1,1,Jeong Hyeongdon
2,1,Park Seojoon
2,1,Yoon Bora
2,1,Lee Dongwook
5,1,DJ Tukutz (Epik High)
5,1,Lee YoungHyun
5,1,Jeong Hyeongdon
5,1,Jeong Junha
6,1,Lee Hyundo
6,1,Choi Hongman
7,1,Yoo Jaesuk
7,1,Park Myungsu
8,1,Yoo Jaesuk
8,1,Park Myungsu
8,1,Shin Bongsun
8,1,Park Misun
8,1,Hwang Kwanghee
8,1,Jeong Eunpyo and his family
9,1,Jeong Junha
10,1,Hwang Jaekyun (Lotte Giants infielder)
11,1,Cha Taehyun
11,1,Hwang Jungmin
12,1,Director Jang Hangjun with his daughter Jang Yunseo
15,1,Rain
16,1,Big Bang
16,1,Sandara Park (2NE1)
16,1,Lee Hi
16,1,Mithra Jin & DJ Tukutz (Epik High)
19,1,Kim Heechul & Kangin (Super Junior)
19,1,Jeong Eunpyo and his family
19,1,cast of Hwayi: A Monster Boy (Kim Yoonseok
19,1,Cho Jinwoong)
20,1,cast of Hwayi: A Monster Boy (Kim Yoonseok
20,1,Cho Jinwoong)
20,1,Kim Sungkyun
20,1,Yeo Jingoo)
20,1,Woo Jiwon with his daughter Woo Nayun
20,1,Kim Jungtae with his son Kim Jihoo (Yakkung)
20,1,Kim Donghyun
21,1,Kim Jungtae with his son Kim Jihoo (Yakkung)
21,1,Yoon Hyeongbin
22,1,Taeyeon (Girls' Generation)
22,1,Sunny (Girls' Generation)
22,1,Tiffany (Girls' Generation)
22,1,Sooyoung (Girls' Generation)
22,1,Yoona (Girls' Generation)
24,1,Heo Sugyeong with her daughter Byeol
25,1,DJ Tukutz (Epik High)
25,1,Yoo Seyoon & Muzie with daughter Soho (UV)
25,1,Yang Joonhyuk retired Samsung Lions outfielder
25,1,Kim Bomin with son Seou
26,1,DJ Tukutz (Epik High)
26,1,Yoo Seyoon & Muzie with daughter Soho (UV)
26,1,Shoo with twin daughters Lim Rahee & Lim Rayool
26,1,Goo Hye Sun
27,1,Shoo with twin daughters Lim Rahee & Lim Rayool
27,1,Goo Hye Sun
27,1,Mithra Jin & DJ Tukutz (Epik High)
27,1,Bibi Zhou
27,1,Gong Hyojin
28,1,Akdong Musician
28,1,Sean (Jinusean)
28,1,Mithra Jin & DJ Tukutz (Epik High)
28,1,GDragon (Big Bang)
28,1,Taeyang (Big Bang)
28,1,Daesung (Big Bang)
28,1,2NE1
28,1,Winner
28,1,Team B
29,1,Kim Daehee with daughters (Kim Sayun
29,1,Kim Hyeonoh
29,1,Kim Home)
29,1,Big Bang
29,1,Sean (Jinusean)
29,1,Mithra Jin & DJ Tukutz (Epik High)
29,1,Akdong Musician
29,1,Lee Lee Jaehoon (Cool)m Sook
29,1,Kal Sowon
30,1,Kim Daehee with daughters (Kim Sayun
30,1,Kim Hyeonoh
30,1,Kim Home)
30,1,Lee Jaehoon (Cool)
30,1,Kim Sook
30,1,comedian Kim Inseok
30,1,Kim Yeongcheol
31,1,comedian Kim Junhyun
32,1,comedian Kim Junhyun and Yu Minsang
32,1,Jang Yunjeong
32,1,Do Kyung Wan
32,1,Jo Insung
33,1,Jang Yunjeong
33,1,Do Kyung Wan
33,1,Sunny (Girls' Generation)
33,1,Shoo
34,1,Jang Yunjeong
34,1,Do Kyung Wan
34,1,Shoo and her daughters & son
35,1,Jang Yunjeong
35,1,Do Kyung Wan
35,1,Shoo and her daughters & husband Lim HyoSung
36,1,Choi Hongman
38,1,Park Hyunbin
39,1,Jang Keunsuk
39,1,Jang Hun
40,1,Park Jisung
40,1,Guus Hiddink
40,1,2014 K League AllStar Game players
40,1,DJ Tukutz (Epik High)
41,1,Shin Aera with her daughters Cha Yejin & Yeeun
43,1,Yoon Jongshin
43,1,Goo Hara
43,1,Park Ji Yoon
43,1,Shoo with twin daughters Lim Rahee & Lim Rayool
43,1,Jang Yunjeong & Do Kyung Wan with son Do YeonNu (Kkomkkomyi)
44,1,Jang Yunjeong & Do Kyung Wan with son Do YeonNu (Kkomkkomyi)
46,1,Lee Hye Jung
47,1,Jonghyun of SHINee
47,1,Sunny (Girls' Generation)
47,1,Mithra Jin & DJ Tukutz (Epik High)
52,1,Sean with his kids Ha Eum
52,1,Ha Rang
52,1,Ha Yul and Ha El
55,1,Taeyang (Big Bang)
55,1,Mithra Jin & DJ Tukutz (Epik High)
56,1,Taeyang (Big Bang)
56,1,DJ Tukutz (Epik High)
58,1,Kim Sook
58,1,comedian Kim Inseok
58,1,Oh Nami
58,1,Lee Jungjin
58,1,Lee Jungjin
58,1,Shoo with twin daughters Lim Rahee & Lim Rayool
58,1,Jang Yunjeong & Do Kyung Wan with son Do YeonNu (Kkomkkomyi)
60,1,Hyunjin Ryu
61,1,Hyunjin Ryu
61,1,Yoon Hyung Bin & Jung Kyung Mi with their son Yoon Joon
63,1,Cha Seungwon
66,1,Uhm Junghwa
67,1,Cha Taehyun with daughters Cha Taeeun & Cha Sujin
68,1,Cha Taehyun with daughters Cha Taeeun & Cha Sujin
70,1,Yoon IlBong
71,1,Sung Daehyun with daughter Ahyoung
71,1,Song Chonggug
72,1,Uhm Junghwa
73,1,Uhm Junghwa
73,1,Chef Raymon Kim & Kim Jiwoo with their daughter Lua Nari
74,1,Uhm Junghwa
74,1,Sung Daehyun with daughter Ahyoung
74,1,Kim Hyun Chul with wife and daughter
74,1,Lee Hoon
77,1,Heo Sugyeong with her daughter Byeol
79,1,Baekhyun & Chanyeol (Exo)
81,1,Sung Sikyung
82,1,Sung Sikyung
82,1,Sean
83,1,Sean
88,1,Uhm Junghwa
88,1,Chef Jeong Changuk
89,1,Chef Jeong Changuk
91,1,Chef Jeong Changuk Ahn Jaewook
93,1,Yoona (Girls' Generation)
95,1,Girls' Generation
96,1,Girls' Generation
96,1,Guest narrator Yoo Inna
97,1,Guest narrator Jang Hyunsung
97,1,GDragon
98,1,GDragon
112,1,Kim Sook
114,1,Gamblerz
116,1,Lee Keunho
117,1,Yoon Jungsoo
117,1,Kim Sook
117,1,Song Euni
117,1,Park Sohyun
123,1,Lee Kyungkyu
123,1,Ok Taecyeon (2PM)
124,1,Lee Kyungkyu
124,1,Yu Hojin director (2 Days & 1 Night)
125,1,Yura
126,1,Kim Jun Hyun
126,1,Song Sohee
126,1,Hwang Kwanghee
126,1,Hyung Sik
126,1,Jung Yong Hwa
126,1,Lee Jong Hyun
126,1,Lee Dongwook
135,1,Kang Yewon
139,1,Jung Sungyun and Moah
139,1,Yoon Hyungbin and Jun
140,1,Lee Jungjin
148,1,Chen and Xiumin From EXO
157,1,Moon Seyoon
157,1,Siyeon & Jinhyeok
162,1,Seolhyun and Hyejeong (AOA)
162,1,Seo Kangjoon and Kang Taeoh From 5urprise
163,1,Seo Kangjoon and Kang Taeoh From 5urprise
172,1,Sam Okyere
177,1,Bada
180,1,Choi Minho of SHINee
189,1,Ryu Suyoung
189,1,Lee Yoori
189,1,Lee Joon
192,1,Jung Yonghwa of CNBLUE
194,1,Kang Daniel
194,1,Ong Seongwu
194,1,Park Jihoon
194,1,and Yoon Jisung From Wanna One
195,1,Kang Daniel
195,1,Ong Seongwu
195,1,Park Jihoon
195,1,and Yoon Jisung From Wanna One
196,1,Steven Yeun
197,1,Kim Jongmin
198,1,Kangnam and Jun Jin
198,1,Kim Jongmin and Cha Taehyun
198,1,Steven Yeun and Mads Mikkelsen
200,1,Lim Seulong
200,1,Mihal Ashminov
203,1,Jung Yonghwa of CNBLUE
203,1,Cha Hong
203,1,Bada
204,1,Jang Seungjo
204,1,Seo Hyejin
204,1,Hyuna
204,1,Geum Bora
204,1,Park Sieun
204,1,Kim Chaewoon
205,1,Choo Sunghoon
205,1,Choo Sarang
205,1,So Yoojin
205,1,Seo Janghoon
205,1,Kim Saengmin
205,1,Lee Dongwook
205,1,Heo Kyunghwan
205,1,GFriend
205,1,Sunmi
205,1,Tiger JK and Yoon Mirae
206,1,Robert Kelly
206,1,Marion Kelly
206,1,James Kelly
207,1,Jeonbuk Hyundai Motors FC members (including past members such as Kim Namil and Eduardo Gonçalves de Oliveira)
207,1,Tiger JK
207,1,Bizzy
207,1,Yoon Mirae
209,1,Heo Jiwoong
210,1,Heo Kyunghwan
210,1,Sayuri Fujita
210,1,Mark Hamill
210,1,Choi Hyeonho and Jiwoon and Ahyoung
210,1,Hong Kyungmin and Rawon
210,1,Jung Sungyun and Moah
211,1,Lie Sangbong
211,1,Han Hyunmin
211,1,Kahi
211,1,Hong Seokcheon
212,1,Hong Jinyoung
212,1,Hong Wonki (director)
212,1,Jeong Juri
213,1,Kim Hyunchul and Bombom
213,1,Kim Inseok and Taeyang
213,1,Im Haryong
214,1,Jo Seho
214,1,Boom
215,1,Sam Okyere
215,1,Lee Yoonji and Rani
216,1,Akiba Rie and Yena
216,1,Christina Confalonieri
216,1,Eva Popiel and Noah
220,1,Kwon Hyuksoo
222,1,Choi Soojong
222,1,Boom and Siwon
222,1,Lee Yoonji and Rani
222,1,Kim Nayoung and Shinwoon
223,1,Ricky Kim and Taeoh and Taera
224,1,Lee Seokhoon (SG Wannabe)
224,1,Leeteuk (Super Junior)
224,1,Shindong (Super Junior)
224,1,Eunhyuk (Super Junior)
224,1,TVXQ
224,1,Moon Sungmin and Siho and Liho
225,1,Eric Nam
225,1,Kim Sejeong
226,1,Lee Yoonji and Rani
226,1,Kang Byunghyun and Park Gawon and Yoojun and Yooha
227,1,Hwang Chiyeul
227,1,Jang Jinwoo and Manok
228,1,Yoo Byungjae
228,1,Sandara Park
228,1,Jeong Taeho and Seoyul and Siwoo
229,1,Jasper Liu
230,1,Song Kyungah and Haeyi
231,1,Kang Hyungwook and Juwon
231,1,Eva Popiel and Noah
232,1,Jasper Liu
232,1,AOA (Seolhyun and Mina)
234,1,Kim Kyunghwa
234,1,Choi Jahye
234,1,Esther (SOHODAE )
234,1,Jeon Hyebin
234,1,Shiho Yano
234,1,Choo Sunghoon
236,1,Viktor Ahn and Jane
236,1,Noh Sookwang
236,1,Sam Okyere
237,1,Moon Sungmin and Siho and Liho
237,1,Lee Yong
239,1,Viktor Ahn and Jane
239,1,Kim Jun and Soyi
240,1,Dayoung (WJSN)
240,1,Yeonjung (WJSN)
240,1,Bona (WJSN)
241,1,Jun Hyunmoo
241,1,Choi Sooyoung
241,1,Jasper Liu
241,1,Kyung Soojin
241,1,Chae Jungan
241,1,Yutaka Matsushige
241,1,Red Velvet
241,1,Oh Jiho
241,1,Sung Sikyung
241,1,Ryohei Otani
241,1,Daniel Lindemann
243,1,Lee Yong
243,1,Kim Minjae
243,1,Han Seunggyu
243,1,Hwang Heechan
243,1,Lee Seungwoo
243,1,Hwang Inbeom
243,1,Paulo Bento
245,1,Minho (Shinee)
245,1,Lee Hwijae & Lee Seoeon & Lee Seojun
245,1,Choo Sunghoon & Choo Sarang
246,1,Minho (Shinee)
246,1,Lee Hwijae & Lee Seoeon & Lee Seojun
246,1,Choo Sunghoon & Choo Sarang
247,1,Minho (Shinee)
247,1,Lee Hwijae & Lee Seoeon & Lee Seojun
247,1,Choo Sunghoon & Choo Sarang
249,1,Jo Sungmo and Bongyeon
249,1,Richard Windbichler
251,1,Richard Windbichler
251,1,Sergio Escudero
251,1,Lee Myungjae
253,1,Jo Sungmo and Bongyeon
253,1,Son Hoyoung (g.o.d)
253,1,Eva Popiel and Noah
253,1,Sam Okyere
253,1,Jeong Juri and Doyun
253,1,Ryu Suyoung
254,1,Key (Shinee)
256,1,Lee Hye Jung
256,1,Kim Jimin
257,1,Kai (EXO)
257,1,Chanyeol (EXO)
257,1,Lee Yoonji and Rani
258,1,Lee Sieon
258,1,Yoon Hyunmin
258,1,Nam Bora
258,1,Park Hwisun
258,1,Lee Seungyoon
258,1,Park Jisun
258,1,Oh Nami
258,1,Shin Bora
258,1,Nam Heesuk
258,1,Yoo Minsang
258,1,Lee Hyunyi and Yoonseo
259,1,Naeun (Apink)
259,1,Twice
259,1,Andy Lee (Shinhwa)
259,1,DIA
259,1,Do Kyung Wan
259,1,Hwasa (Mamamoo)
259,1,Lee Hwijae
259,1,Jun Hyunmoo
260,1,Kim Donghyun
260,1,Hwang Kwanghee
260,1,Choo Sunghoon
261,1,Ahn Yoonsang
264,1,Shim Jiho
264,1,Yian and Yiel
264,1,MC Dingdong
265,1,Lee Deokhwa
266,1,Jo Sungmo and Bongyeon
266,1,Mihal Ashminov and Adrian
266,1,Han Hyunmin
267,1,Lee Eungyeol
267,1,Kim Junho
267,1,Hong Ingyu and Chaeyoon
267,1,Jo Sungmo and Bongyeon
269,1,Shim Jiho
269,1,Yian and Yiel
269,1,Jo Bin (Norazo)
269,1,Kim Wonhyo
271,1,Petri Kalliola and Mikko
271,1,Hwang Kwanghee
272,1,Shim Jiho
272,1,Yian and Yiel
272,1,Choi Minho
272,1,Kim Dongwan
272,1,P.O (Bastarz)
272,1,BBomb  UKwon (Bastarz)
273,1,Hong Kyungmin
273,1,Rawon and Raim
274,1,Hong Kyungmin
274,1,Rawon and Raim
275,1,Don Spike
277,1,Shim Jiho
277,1,Yian and Yiel
279,1,Hong Kyungmin
279,1,Rawon and Raim
282,1,Park Jungchul and Dain
282,1,Hwang Kwanghee
283,1,Hwang Kwanghee
284,1,Hwang Kwanghee
285,1,Lee Seokhoon (SG Wannabe) and Joowon
285,1,Hwang Kwanghee
285,1,Koo Jacheol
287,1,Moon Jeongwon
287,1,Lee Seoeon
287,1,Lee Seojun and Lee Hwijae
287,1,Joshua Carrott (Korean Englishman) and Gabie Kook
288,1,Lee Yong
288,1,Kim Nayoung and Shinwoon
288,1,Choi Chulsoon and Jaehee
288,1,Lee Hyojung and Bin
288,1,Ryu Seungmin and Seonggong
288,1,Danwoo and his sister (Moon Sori 's children)
288,1,Park Gawon and Yoojoon (Kang Byeonghyun 's son)
288,1,Cho Donghwa and Jaebeom
288,1,Yoo Daon (Yoo Wonsang's daughter)
288,1,Chon Taepoong (Tony Akins) and Taeyong
290,1,Lee Yong
290,1,Choi Chulsoon and Jaehee
290,1,Lee Hyojung and Bin
290,1,Ryu Seungmin and Seonggong
290,1,Moon Sori and Danwoo
290,1,Park Gawon and Yoojoon (Kang Byeonghyun 's son)
290,1,Cho Donghwa and Jaebeom
290,1,Chon Taepoong (Tony Akins) and Taeyong
291,1,Do Kyung Wan
291,1,Shin Yeeun
291,1,NU'EST
291,1,Norazo
291,1,Naeun (April)
291,1,Kim Yeongcheol
291,1,Hyeri (Girl's Day)
291,1,Oh My Girl
291,1,Lee Yong
291,1,Jo Hyeonwoo
292,1,Lee Yong
292,1,Seonggong (Ryu Seungmin's son)
292,1,Choi Chulsoon and Jaehee
292,1,Park Gawon and Yoojoon (Kang Byeonghyun 's son)
292,1,Moon Sori and Danwoo
292,1,Jungjae (Na Sungbum's son)
294,1,Lee Yong
294,1,Seonggong (Ryu Seungmin's son)
294,1,Choi Chulsoon and Jaehee
294,1,Park Gawon and Yoojoon (Kang Byeonghyun 's son)
294,1,Moon Sori and Danwoo
294,1,Jungjae (Na Sungbum's son)
294,1,Eva Popiel and Noah
296,1,Jeong Juri
296,1,Doyun
296,1,Dowon and Doha
298,1,Jacob Batalon
300,1,Lee Youngja
301,1,Hwang Kwanghee
302,1,Seungkwan (Seventeen)
302,1,DK (Seventeen)
302,1,Dino (Seventeen)
302,1,Hoshi (Seventeen)
303,1,Sean (Jinusean)
303,1,Yeon Junghoon
303,1,Ha Seungjin
